Z210;D20N;PW935245-SG;551;;1;N1P1;P120;Process;THREAD NG;3.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011862
Z210;P2-31A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;7.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12101;223210011862
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;Hump;6.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12101;223210011862
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Hump;6.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12101;223210011862
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12101;223210011862
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12101;223210011862
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12101;223210011862
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12101;223210011862
Z210;P2-30A;PW933799-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12101;223210011862
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12101;223210011862
